Date,Price,Open,High,Low,Vol.,Change %
18/09/2015,7.75,7.7494,7.7508,7.7492,,0.00%
17/09/2015,7.75,7.7497,7.7511,7.7493,,0.00%
16/09/2015,7.7503,7.7497,7.7512,7.7492,,0.00%
15/09/2015,7.7502,7.7494,7.7502,7.7492,,0.00%
14/09/2015,7.75,7.7496,7.7507,7.7492,,0.00%
11/9/2015,7.75,7.7495,7.7507,7.7492,,0.00%
10/9/2015,7.7501,7.7513,7.752,7.7492,,-0.02%
9/9/2015,7.7515,7.75,7.7523,7.7496,,0.01%
8/9/2015,7.7508,7.7495,7.752,7.7494,,0.01%
7/9/2015,7.75,7.7495,7.7504,7.7492,,0.00%
4/9/2015,7.7501,7.7495,7.7514,7.7492,,0.00%
3/9/2015,7.75,7.7495,7.7521,7.7492,,0.00%
2/9/2015,7.75,7.7495,7.7508,7.7492,,0.00%
1/9/2015,7.75,7.7495,7.7508,7.7492,,0.00%
31/08/2015,7.75,7.7495,7.7511,7.7494,,0.00%
28/08/2015,7.75,7.7495,7.7511,7.7492,,0.00%
27/08/2015,7.75,7.751,7.7524,7.7492,,-0.03%
26/08/2015,7.7523,7.7514,7.7528,7.7494,,0.01%
25/08/2015,7.7516,7.751,7.7542,7.75,,0.01%
24/08/2015,7.7512,7.7516,7.756,7.7505,,-0.02%
21/08/2015,7.7527,7.752,7.7532,7.7501,,0.00%
20/08/2015,7.7525,7.7529,7.754,7.7502,,-0.01%
19/08/2015,7.7535,7.7541,7.7553,7.7517,,-0.02%
18/08/2015,7.7548,7.7546,7.7556,7.7529,,0.00%
17/08/2015,7.7548,7.7553,7.7576,7.7533,,-0.01%
14/08/2015,7.7559,7.7552,7.757,7.7518,,0.00%
13/08/2015,7.756,7.7546,7.7564,7.7507,,-0.01%
12/8/2015,7.7569,7.7612,7.7642,7.7519,,-0.06%
11/8/2015,7.7619,7.7521,7.7642,7.752,,0.12%
10/8/2015,7.7527,7.7514,7.7538,7.751,,0.01%
7/8/2015,7.7523,7.7507,7.7538,7.7506,,0.02%
6/8/2015,7.7511,7.7513,7.7524,7.7503,,-0.01%
5/8/2015,7.7518,7.7537,7.7543,7.7511,,-0.03%
4/8/2015,7.754,7.7526,7.7544,7.7522,,0.01%
3/8/2015,7.7534,7.7507,7.7543,7.7505,,0.01%
31/07/2015,7.7529,7.7537,7.754,7.7504,,-0.01%
30/07/2015,7.7537,7.7512,7.754,7.7502,,0.03%
29/07/2015,7.7517,7.7505,7.7523,7.7499,,0.01%
28/07/2015,7.7511,7.7509,7.7519,7.75,,0.00%
27/07/2015,7.7514,7.7514,7.7517,7.7497,,0.00%
24/07/2015,7.7514,7.7508,7.7521,7.7499,,0.00%
23/07/2015,7.7515,7.7499,7.7519,7.7498,,0.01%
22/07/2015,7.7504,7.7505,7.7516,7.7497,,-0.01%
21/07/2015,7.751,7.7502,7.7516,7.75,,0.00%
20/07/2015,7.751,7.75,7.7522,7.7498,,0.01%
17/07/2015,7.7505,7.7508,7.7514,7.7497,,-0.01%
16/07/2015,7.7513,7.751,7.7518,7.75,,0.00%
15/07/2015,7.751,7.7512,7.7518,7.7497,,-0.01%
14/07/2015,7.7514,7.7519,7.7524,7.7502,,-0.01%
13/07/2015,7.7521,7.7509,7.7524,7.7503,,0.01%
10/7/2015,7.7513,7.7518,7.7523,7.7502,,-0.01%
9/7/2015,7.752,7.7516,7.7535,7.7505,,-0.01%
8/7/2015,7.7524,7.7547,7.7562,7.7514,,-0.03%
7/7/2015,7.7547,7.7527,7.7566,7.7521,,0.02%
6/7/2015,7.7532,7.7523,7.7541,7.7518,,0.00%
3/7/2015,7.753,7.7516,7.7536,7.7508,,0.02%
2/7/2015,7.7516,7.7523,7.7525,7.7505,,-0.01%
1/7/2015,7.7524,7.751,7.7524,7.7506,,0.01%
30/06/2015,7.7515,7.7522,7.7534,7.7509,,-0.01%
29/06/2015,7.7523,7.7519,7.753,7.7512,,0.00%
26/06/2015,7.7524,7.7521,7.7535,7.7508,,0.00%
25/06/2015,7.7527,7.7524,7.7532,7.7505,,0.00%
24/06/2015,7.7525,7.752,7.7532,7.7512,,0.00%
23/06/2015,7.7526,7.7507,7.7536,7.7505,,0.02%
22/06/2015,7.7513,7.7513,7.7522,7.7505,,0.00%
19/06/2015,7.7515,7.7521,7.7528,7.7509,,-0.01%
18/06/2015,7.7524,7.7523,7.7533,7.7516,,0.00%
17/06/2015,7.7523,7.7517,7.7535,7.7515,,0.00%
16/06/2015,7.7522,7.7528,7.7537,7.7516,,-0.01%
15/06/2015,7.753,7.7526,7.7536,7.7515,,0.00%
12/6/2015,7.753,7.7521,7.7538,7.7518,,0.01%
11/6/2015,7.7524,7.7522,7.7535,7.7518,,0.00%
10/6/2015,7.7524,7.7528,7.7536,7.7514,,-0.01%
9/6/2015,7.7534,7.7514,7.7535,7.7512,,0.02%
8/6/2015,7.752,7.7517,7.7537,7.751,,0.00%
5/6/2015,7.7523,7.7512,7.7539,7.751,,0.01%
4/6/2015,7.7516,7.7532,7.7544,7.751,,-0.02%
3/6/2015,7.7532,7.7555,7.7559,7.7525,,-0.03%
2/6/2015,7.7558,7.7559,7.7579,7.7533,,0.00%
1/6/2015,7.7558,7.752,7.7572,7.7516,,0.04%
29/05/2015,7.753,7.7528,7.7543,7.75,,-0.01%
28/05/2015,7.7534,7.7583,7.7591,7.752,,-0.06%
27/05/2015,7.7584,7.7515,7.7604,7.7512,,0.08%
26/05/2015,7.7523,7.7514,7.7534,7.7512,,0.01%
25/05/2015,7.7519,7.7513,7.7534,7.7508,,0.00%
22/05/2015,7.7517,7.7526,7.7542,7.7505,,-0.02%
21/05/2015,7.7532,7.7522,7.7542,7.7515,,0.01%
20/05/2015,7.7523,7.7517,7.7528,7.7511,,0.00%
19/05/2015,7.752,7.7505,7.7534,7.7504,,0.02%
18/05/2015,7.7507,7.7505,7.7525,7.7502,,0.00%
15/05/2015,7.751,7.7501,7.7521,7.75,,0.00%
14/05/2015,7.7508,7.751,7.7524,7.75,,-0.01%
13/05/2015,7.7517,7.7512,7.7537,7.751,,0.00%
12/5/2015,7.7516,7.752,7.7538,7.7512,,-0.01%
11/5/2015,7.7523,7.753,7.7541,7.7518,,-0.01%
8/5/2015,7.7534,7.7531,7.755,7.7524,,-0.01%
7/5/2015,7.7539,7.7516,7.7551,7.7512,,0.03%
6/5/2015,7.7518,7.7507,7.753,7.7506,,0.01%
5/5/2015,7.7513,7.7527,7.7538,7.7499,,-0.02%
4/5/2015,7.7529,7.751,7.754,7.7502,,0.01%
1/5/2015,7.7521,7.7499,7.7524,7.7497,,0.02%
30/04/2015,7.7506,7.7504,7.7522,7.7497,,0.00%
29/04/2015,7.7507,7.7501,7.7508,7.7496,,0.01%
28/04/2015,7.7502,7.75,7.7517,7.7495,,0.00%
27/04/2015,7.75,7.7498,7.7514,7.7495,,0.00%
24/04/2015,7.7502,7.7496,7.7504,7.7494,,0.00%
23/04/2015,7.7502,7.7497,7.7506,7.7495,,0.00%
22/04/2015,7.7501,7.7496,7.7509,7.7495,,0.00%
21/04/2015,7.7502,7.7496,7.7507,7.7495,,0.00%
20/04/2015,7.7502,7.7512,7.7522,7.7494,,-0.02%
17/04/2015,7.7521,7.7522,7.753,7.7502,,0.00%
16/04/2015,7.7524,7.7517,7.7525,7.7502,,0.00%
15/04/2015,7.7522,7.7523,7.7537,7.7497,,-0.01%
14/04/2015,7.7529,7.75,7.7537,7.7495,,0.04%
13/04/2015,7.75,7.75,7.7505,7.7494,,0.00%
10/4/2015,7.75,7.7495,7.7504,7.7494,,0.00%
9/4/2015,7.75,7.7498,7.7511,7.7494,,-0.01%
8/4/2015,7.7504,7.7512,7.7537,7.7495,,-0.02%
7/4/2015,7.752,7.7523,7.7529,7.751,,-0.01%
6/4/2015,7.7527,7.7516,7.7528,7.7513,,0.01%
3/4/2015,7.7523,7.752,7.7538,7.751,,-0.01%
2/4/2015,7.7527,7.752,7.7539,7.7515,,0.00%
1/4/2015,7.7525,7.7523,7.7555,7.7517,,0.00%
31/03/2015,7.7524,7.7543,7.7553,7.752,,-0.03%
30/03/2015,7.755,7.753,7.7561,7.7528,,0.02%
27/03/2015,7.7535,7.7542,7.7561,7.7525,,-0.01%
26/03/2015,7.7546,7.7548,7.7559,7.753,,0.00%
25/03/2015,7.7547,7.7561,7.757,7.7534,,-0.02%
24/03/2015,7.7563,7.7563,7.7572,7.7535,,0.00%
23/03/2015,7.7563,7.758,7.7585,7.7545,,-0.02%
20/03/2015,7.7581,7.7584,7.7607,7.7553,,-0.01%
19/03/2015,7.7591,7.7601,7.7612,7.7553,,0.00%
18/03/2015,7.759,7.7624,7.7631,7.7559,,-0.05%
17/03/2015,7.7626,7.7646,7.7661,7.7621,,-0.03%
16/03/2015,7.7647,7.7656,7.7675,7.7635,,-0.01%
13/03/2015,7.7658,7.769,7.7704,7.7633,,-0.05%
12/3/2015,7.7694,7.7704,7.7706,7.7627,,-0.02%
11/3/2015,7.7707,7.7611,7.7743,7.759,,0.12%
10/3/2015,7.7614,7.7595,7.7622,7.7578,,0.02%
9/3/2015,7.7601,7.7562,7.7608,7.7559,,0.04%
6/3/2015,7.7567,7.7552,7.7596,7.7548,,0.01%
5/3/2015,7.7557,7.7553,7.7581,7.7543,,0.00%
4/3/2015,7.7556,7.7552,7.7557,7.754,,0.00%
3/3/2015,7.7554,7.7553,7.756,7.7535,,0.00%
2/3/2015,7.7554,7.754,7.7561,7.753,,-0.01%
27/02/2015,7.7559,7.7547,7.7561,7.7528,,0.02%
26/02/2015,7.7547,7.7571,7.7576,7.754,,-0.03%
25/02/2015,7.7571,7.7565,7.7575,7.7541,,0.00%
24/02/2015,7.7568,7.7563,7.7575,7.7556,,0.00%
23/02/2015,7.7569,7.7588,7.7594,7.7556,,-0.03%
20/02/2015,7.7595,7.758,7.7605,7.7555,,0.02%
19/02/2015,7.7582,7.7575,7.7595,7.7564,,0.00%
18/02/2015,7.7583,7.7592,7.7598,7.7559,,-0.02%
17/02/2015,7.7596,7.759,7.7596,7.7567,,0.01%
16/02/2015,7.7591,7.7547,7.7595,7.7545,,0.04%
13/02/2015,7.7561,7.7535,7.7562,7.7535,,0.03%
12/2/2015,7.7539,7.7543,7.7563,7.7529,,-0.01%
11/2/2015,7.7545,7.7533,7.7549,7.753,,0.01%
10/2/2015,7.7534,7.7532,7.7547,7.7528,,0.00%
9/2/2015,7.7537,7.7521,7.7542,7.7515,,0.01%
6/2/2015,7.753,7.752,7.7534,7.7515,,0.01%
5/2/2015,7.7524,7.7524,7.7537,7.7512,,0.00%
4/2/2015,7.7524,7.7538,7.7551,7.7513,,-0.02%
3/2/2015,7.7539,7.7528,7.755,7.7523,,0.01%
2/2/2015,7.7528,7.752,7.7549,7.7519,,0.01%
30/01/2015,7.7523,7.7519,7.7543,7.7512,,0.00%
29/01/2015,7.752,7.7519,7.753,7.7512,,0.00%
28/01/2015,7.7519,7.752,7.7531,7.7513,,0.00%
27/01/2015,7.7521,7.7517,7.7534,7.7513,,0.00%
26/01/2015,7.7518,7.751,7.7532,7.7509,,-0.02%
23/01/2015,7.753,7.7528,7.7541,7.7506,,0.00%
22/01/2015,7.753,7.7507,7.7538,7.7502,,0.03%
21/01/2015,7.7508,7.7524,7.7532,7.75,,-0.02%
20/01/2015,7.7525,7.752,7.7537,7.7514,,0.00%
19/01/2015,7.7522,7.7513,7.7538,7.7504,,0.01%
16/01/2015,7.7512,7.7527,7.7546,7.7494,,-0.02%
15/01/2015,7.7528,7.7539,7.7557,7.7505,,-0.02%
14/01/2015,7.7542,7.7527,7.7547,7.7525,,0.02%
13/01/2015,7.753,7.7529,7.754,7.7524,,0.00%
12/1/2015,7.753,7.7528,7.7548,7.7522,,0.01%
9/1/2015,7.7526,7.7544,7.7556,7.7523,,-0.03%
8/1/2015,7.7546,7.7548,7.7557,7.7539,,0.00%
7/1/2015,7.7549,7.7541,7.7555,7.7532,,0.01%
6/1/2015,7.7543,7.7559,7.7561,7.7525,,-0.02%
5/1/2015,7.7561,7.7557,7.7568,7.755,,-0.01%
2/1/2015,7.7566,7.7539,7.7576,7.7537,,0.03%
1/1/2015,7.7539,7.7538,7.7539,7.7538,,0.00%
31/12/2014,7.7539,7.7567,7.7583,7.7531,,-0.04%
30/12/2014,7.757,7.7581,7.7588,7.7561,,-0.02%
29/12/2014,7.7583,7.76,7.762,7.7573,,-0.04%
26/12/2014,7.7616,7.7598,7.7621,7.7584,,0.02%
25/12/2014,7.7599,7.762,7.7632,7.7593,,-0.03%
24/12/2014,7.7622,7.7567,7.7634,7.7561,,0.07%
23/12/2014,7.7568,7.7551,7.7599,7.755,,0.02%
22/12/2014,7.7553,7.753,7.7576,7.753,,0.03%
19/12/2014,7.7531,7.7558,7.7566,7.7527,,-0.04%
18/12/2014,7.7562,7.7559,7.7576,7.7541,,0.00%
17/12/2014,7.7561,7.754,7.7565,7.7526,,0.02%
16/12/2014,7.7543,7.7529,7.7545,7.752,,0.02%
15/12/2014,7.7531,7.7511,7.7534,7.751,,0.03%
12/12/2014,7.7511,7.7517,7.7532,7.7507,,-0.01%
11/12/2014,7.7519,7.751,7.7527,7.7505,,0.01%
10/12/2014,7.7511,7.752,7.7536,7.7505,,-0.02%
9/12/2014,7.7525,7.7511,7.7542,7.7506,,0.01%
8/12/2014,7.7514,7.7509,7.7518,7.7504,,0.00%
5/12/2014,7.7512,7.7511,7.7525,7.7504,,0.00%
4/12/2014,7.7513,7.7526,7.7541,7.7507,,-0.03%
3/12/2014,7.7533,7.7545,7.7557,7.7518,,-0.02%
2/12/2014,7.7548,7.7557,7.756,7.7541,,-0.01%
1/12/2014,7.7556,7.7545,7.7566,7.7534,,0.01%
28/11/2014,7.7549,7.7527,7.7557,7.7519,,0.03%
27/11/2014,7.7529,7.7539,7.7544,7.752,,-0.01%
26/11/2014,7.754,7.7544,7.7562,7.7531,,-0.01%
25/11/2014,7.7545,7.7556,7.757,7.7535,,-0.02%
24/11/2014,7.7557,7.7574,7.7577,7.7552,,-0.03%
21/11/2014,7.7583,7.7565,7.7593,7.755,,0.02%
20/11/2014,7.7567,7.7551,7.7569,7.7544,,0.02%
19/11/2014,7.7553,7.7549,7.7555,7.7541,,0.00%
18/11/2014,7.7551,7.7543,7.7553,7.7539,,0.01%
17/11/2014,7.7547,7.7538,7.7553,7.7537,,0.00%
14/11/2014,7.7546,7.7545,7.7567,7.7534,,0.00%
13/11/2014,7.7549,7.7541,7.756,7.7529,,0.01%
12/11/2014,7.7544,7.7547,7.7556,7.7534,,-0.01%
11/11/2014,7.7549,7.7557,7.7562,7.7526,,-0.01%
10/11/2014,7.7557,7.7523,7.7558,7.7514,,0.03%
7/11/2014,7.753,7.7528,7.7536,7.7516,,0.00%
6/11/2014,7.7529,7.7517,7.7537,7.7512,,0.02%
5/11/2014,7.7517,7.7522,7.7525,7.7511,,-0.01%
4/11/2014,7.7523,7.753,7.7542,7.7512,,-0.01%
3/11/2014,7.7532,7.7546,7.756,7.7528,,-0.02%
31/10/2014,7.755,7.7547,7.7561,7.754,,0.00%
30/10/2014,7.7548,7.754,7.7561,7.7536,,0.00%
29/10/2014,7.7547,7.7573,7.7581,7.7536,,-0.04%
28/10/2014,7.7576,7.7572,7.7578,7.7566,,0.00%
27/10/2014,7.7574,7.7569,7.7579,7.7564,,0.00%
24/10/2014,7.7572,7.7572,7.7585,7.7563,,0.00%
23/10/2014,7.7573,7.7572,7.758,7.7557,,0.00%
22/10/2014,7.7573,7.7561,7.7577,7.755,,0.01%
21/10/2014,7.7563,7.7573,7.7596,7.7551,,-0.02%
20/10/2014,7.7576,7.757,7.7592,7.7565,,0.00%
17/10/2014,7.7576,7.7583,7.7595,7.7564,,-0.01%
16/10/2014,7.7585,7.7561,7.7587,7.755,,0.03%
15/10/2014,7.7565,7.757,7.7599,7.7545,,-0.01%
14/10/2014,7.7571,7.7578,7.7591,7.755,,-0.01%
13/10/2014,7.758,7.7582,7.7596,7.756,,0.00%
10/10/2014,7.7582,7.756,7.76,7.755,,0.03%
9/10/2014,7.7561,7.7569,7.7571,7.7541,,-0.02%
8/10/2014,7.7573,7.7541,7.7576,7.7537,,0.03%
7/10/2014,7.7547,7.755,7.7573,7.7536,,-0.01%
6/10/2014,7.7553,7.7607,7.7615,7.7543,,-0.09%
3/10/2014,7.7622,7.7611,7.7636,7.7555,,0.01%
2/10/2014,7.7618,7.7645,7.7675,7.7607,,-0.04%
1/10/2014,7.7646,7.7648,7.7685,7.7613,,-0.01%
30/09/2014,7.7652,7.769,7.7693,7.7614,,-0.05%
29/09/2014,7.7692,7.7572,7.7701,7.7569,,0.15%
26/09/2014,7.7577,7.754,7.7584,7.7535,,0.05%
25/09/2014,7.7541,7.7517,7.7542,7.7511,,0.03%
24/09/2014,7.7519,7.7515,7.7523,7.7508,,0.00%
23/09/2014,7.7517,7.7512,7.7519,7.7506,,0.00%
22/09/2014,7.7514,7.7507,7.7515,7.7506,,0.00%
19/09/2014,7.7511,7.7508,7.7523,7.7504,,0.00%
18/09/2014,7.7509,7.7506,7.7516,7.75,,0.00%
17/09/2014,7.7507,7.751,7.7515,7.7503,,-0.01%
16/09/2014,7.7511,7.7511,7.7513,7.7503,,0.00%
15/09/2014,7.7511,7.7506,7.7511,7.75,,0.01%
12/9/2014,7.7506,7.7502,7.751,7.7499,,0.00%
11/9/2014,7.7505,7.7506,7.7508,7.7497,,0.00%
10/9/2014,7.7507,7.7504,7.7508,7.7496,,0.00%
9/9/2014,7.7507,7.75,7.751,7.7496,,0.01%
8/9/2014,7.7501,7.7501,7.7507,7.7495,,0.00%
5/9/2014,7.7502,7.7502,7.7511,7.7495,,0.00%
4/9/2014,7.7505,7.75,7.7507,7.7496,,0.00%
3/9/2014,7.7502,7.7502,7.7508,7.7497,,0.00%
2/9/2014,7.7503,7.75,7.7504,7.7496,,0.00%
1/9/2014,7.7502,7.7501,7.7505,7.7495,,0.00%
29/08/2014,7.7502,7.7499,7.7505,7.7495,,0.00%
28/08/2014,7.7501,7.7498,7.7505,7.7495,,0.00%
27/08/2014,7.7501,7.7505,7.751,7.7495,,-0.01%
26/08/2014,7.7506,7.7501,7.7509,7.7496,,0.00%
25/08/2014,7.7503,7.7497,7.7508,7.7496,,0.00%
22/08/2014,7.7503,7.75,7.7511,7.7495,,0.00%
21/08/2014,7.7502,7.7507,7.751,7.7495,,-0.01%
20/08/2014,7.7508,7.7507,7.7509,7.7498,,0.00%
19/08/2014,7.7508,7.7503,7.7508,7.7497,,0.00%
18/08/2014,7.7506,7.7506,7.7511,7.7499,,0.00%
15/08/2014,7.7503,7.7505,7.751,7.7497,,-0.01%
14/08/2014,7.7508,7.7509,7.7515,7.75,,0.00%
13/08/2014,7.751,7.7511,7.7514,7.7501,,-0.01%
12/8/2014,7.7514,7.751,7.7515,7.7505,,0.00%
11/8/2014,7.7513,7.7509,7.7518,7.7506,,0.00%
8/8/2014,7.7516,7.7509,7.7518,7.75,,0.01%
7/8/2014,7.751,7.7503,7.7515,7.7497,,0.01%
6/8/2014,7.7506,7.75,7.7511,7.7496,,0.01%
5/8/2014,7.75,7.7498,7.7501,7.7495,,0.00%
4/8/2014,7.75,7.7502,7.7505,7.7496,,0.00%
1/8/2014,7.7501,7.7498,7.7503,7.7493,,0.00%
31/07/2014,7.7501,7.7498,7.7503,7.7496,,0.00%
30/07/2014,7.7501,7.7498,7.7505,7.7495,,0.00%
29/07/2014,7.7501,7.7498,7.7504,7.7496,,0.00%
28/07/2014,7.7501,7.7501,7.7505,7.7496,,0.00%
25/07/2014,7.7501,7.7498,7.7508,7.7496,,0.00%
24/07/2014,7.7501,7.7503,7.751,7.7498,,-0.01%
23/07/2014,7.7505,7.7511,7.7521,7.7499,,-0.01%
22/07/2014,7.7515,7.7515,7.7524,7.751,,0.00%
21/07/2014,7.7517,7.7506,7.752,7.7504,,0.01%
18/07/2014,7.7511,7.7509,7.7523,7.7502,,0.00%
17/07/2014,7.7509,7.7506,7.7511,7.7499,,0.00%
16/07/2014,7.7509,7.7498,7.7514,7.7497,,0.01%
15/07/2014,7.7501,7.7498,7.7503,7.7495,,0.00%
14/07/2014,7.75,7.75,7.7503,7.7495,,0.00%
11/7/2014,7.7501,7.7498,7.7503,7.7496,,0.00%
10/7/2014,7.75,7.7497,7.7505,7.7495,,0.00%
9/7/2014,7.75,7.7498,7.7506,7.7495,,0.00%
8/7/2014,7.75,7.7499,7.7507,7.7495,,0.00%
7/7/2014,7.7502,7.7499,7.7508,7.7495,,0.00%
4/7/2014,7.7501,7.7499,7.7515,7.7496,,0.00%
3/7/2014,7.7502,7.75,7.7514,7.7495,,0.00%
2/7/2014,7.7501,7.75,7.7514,7.7495,,0.00%
1/7/2014,7.7501,7.7503,7.7508,7.7495,,0.00%
30/06/2014,7.7504,7.7512,7.7516,7.7497,,-0.01%
27/06/2014,7.7514,7.7516,7.7523,7.7502,,-0.01%
26/06/2014,7.7519,7.7515,7.7524,7.7508,,0.00%
25/06/2014,7.7517,7.7513,7.7522,7.7508,,0.00%
24/06/2014,7.7516,7.7509,7.7522,7.7506,,0.01%
23/06/2014,7.7512,7.7511,7.7518,7.7504,,-0.01%
20/06/2014,7.7517,7.7504,7.7519,7.7499,,0.01%
19/06/2014,7.7507,7.7509,7.7514,7.7492,,-0.01%
18/06/2014,7.7511,7.7512,7.7519,7.7505,,0.00%
17/06/2014,7.7513,7.7509,7.752,7.7507,,0.00%
16/06/2014,7.7513,7.7513,7.7516,7.7505,,0.00%
13/06/2014,7.7516,7.7513,7.7518,7.7505,,0.00%
12/6/2014,7.7515,7.7515,7.7525,7.751,,0.00%
11/6/2014,7.7517,7.7514,7.7527,7.751,,0.00%
10/6/2014,7.7516,7.751,7.752,7.751,,0.00%
9/6/2014,7.7515,7.7524,7.7531,7.751,,-0.01%
6/6/2014,7.7524,7.7524,7.753,7.752,,0.00%
5/6/2014,7.7526,7.7527,7.753,7.752,,0.00%
4/6/2014,7.7529,7.7526,7.7533,7.752,,0.00%
3/6/2014,7.7528,7.7538,7.7544,7.752,,-0.01%
2/6/2014,7.7539,7.752,7.754,7.752,,0.01%
30/05/2014,7.7529,7.7525,7.7535,7.752,,0.00%
29/05/2014,7.7527,7.7535,7.754,7.752,,-0.01%
28/05/2014,7.7537,7.7531,7.7538,7.752,,0.01%
27/05/2014,7.7532,7.7533,7.7537,7.7522,,0.00%
26/05/2014,7.7534,7.7535,7.7546,7.7525,,0.00%
23/05/2014,7.7531,7.7536,7.7543,7.7526,,-0.01%
22/05/2014,7.7538,7.7526,7.7547,7.7523,,0.01%
21/05/2014,7.7527,7.7527,7.753,7.7518,,0.00%
20/05/2014,7.7529,7.7519,7.753,7.7512,,0.01%
19/05/2014,7.7522,7.7516,7.7522,7.7512,,0.00%
16/05/2014,7.7524,7.7518,7.7526,7.7512,,0.01%
15/05/2014,7.752,7.7516,7.7523,7.751,,0.00%
14/05/2014,7.7517,7.7515,7.7522,7.7509,,0.00%
13/05/2014,7.7516,7.7515,7.7526,7.7509,,0.00%
12/5/2014,7.7517,7.751,7.7521,7.751,,0.00%
9/5/2014,7.7516,7.7515,7.752,7.751,,0.00%
8/5/2014,7.7517,7.7525,7.753,7.751,,-0.01%
7/5/2014,7.7527,7.7518,7.753,7.751,,0.01%
6/5/2014,7.752,7.752,7.7528,7.7515,,0.00%
5/5/2014,7.7521,7.7525,7.753,7.7518,,-0.01%
2/5/2014,7.7526,7.7527,7.7536,7.7516,,0.00%
1/5/2014,7.7525,7.7526,7.7538,7.752,,0.00%
30/04/2014,7.7528,7.7533,7.7537,7.7522,,-0.01%
29/04/2014,7.7533,7.7528,7.7538,7.7522,,0.00%
28/04/2014,7.753,7.7533,7.7537,7.752,,-0.01%
25/04/2014,7.7534,7.753,7.754,7.7526,,0.00%
24/04/2014,7.7532,7.7526,7.754,7.7524,,0.01%
23/04/2014,7.7527,7.7528,7.7537,7.7516,,0.00%
22/04/2014,7.753,7.7537,7.7542,7.7514,,-0.01%
21/04/2014,7.7539,7.754,7.755,7.7528,,-0.01%
18/04/2014,7.7544,7.7542,7.7549,7.7535,,0.00%
17/04/2014,7.7544,7.754,7.7547,7.7535,,0.00%
16/04/2014,7.7542,7.7539,7.755,7.7535,,0.00%
15/04/2014,7.7539,7.7532,7.7549,7.7528,,0.01%
14/04/2014,7.7534,7.752,7.7541,7.752,,0.01%
11/4/2014,7.753,7.7528,7.7547,7.752,,0.00%
10/4/2014,7.753,7.7533,7.7552,7.7525,,-0.01%
9/4/2014,7.7534,7.754,7.7546,7.7525,,-0.01%
8/4/2014,7.7542,7.7552,7.7564,7.7528,,-0.01%
7/4/2014,7.7553,7.7566,7.7575,7.7546,,-0.02%
4/4/2014,7.7569,7.7567,7.7584,7.7559,,0.00%
3/4/2014,7.7569,7.756,7.7577,7.7556,,0.01%
2/4/2014,7.7561,7.7561,7.758,7.7556,,-0.01%
1/4/2014,7.7566,7.7565,7.7579,7.7556,,0.00%
31/03/2014,7.7568,7.7575,7.7586,7.756,,-0.02%
28/03/2014,7.758,7.7577,7.7589,7.7565,,0.00%
27/03/2014,7.7583,7.7579,7.7601,7.7571,,0.00%
26/03/2014,7.7583,7.7562,7.76,7.7558,,0.03%
25/03/2014,7.7562,7.7574,7.7584,7.7555,,-0.02%
24/03/2014,7.7576,7.758,7.7608,7.7565,,-0.01%
21/03/2014,7.758,7.764,7.765,7.7565,,-0.08%
20/03/2014,7.7643,7.7654,7.766,7.7625,,-0.02%
19/03/2014,7.7656,7.7665,7.767,7.7624,,-0.02%
18/03/2014,7.7669,7.7665,7.7675,7.7648,,0.00%
17/03/2014,7.7667,7.767,7.7671,7.7643,,-0.01%
14/03/2014,7.7672,7.7648,7.7673,7.763,,0.03%
13/03/2014,7.7651,7.7658,7.7661,7.7627,,-0.01%
12/3/2014,7.766,7.7622,7.7664,7.7608,,0.05%
11/3/2014,7.7623,7.7611,7.7624,7.76,,0.01%
10/3/2014,7.7613,7.7601,7.7619,7.76,,0.01%
7/3/2014,7.7608,7.7606,7.7615,7.7595,,0.00%
6/3/2014,7.7608,7.7605,7.7616,7.7596,,0.00%
5/3/2014,7.7609,7.7604,7.7617,7.7595,,0.00%
4/3/2014,7.7611,7.7618,7.7625,7.7592,,-0.01%
3/3/2014,7.762,7.76,7.7631,7.7585,,0.02%
28/02/2014,7.7603,7.7615,7.762,7.7597,,-0.02%
27/02/2014,7.7616,7.7612,7.7618,7.7582,,0.00%
26/02/2014,7.7613,7.7606,7.7615,7.7575,,0.00%
25/02/2014,7.7612,7.7584,7.7629,7.757,,0.03%
24/02/2014,7.7586,7.7549,7.76,7.7547,,0.04%
21/02/2014,7.7553,7.7554,7.757,7.7546,,0.00%
20/02/2014,7.7556,7.7549,7.7562,7.7542,,0.01%
19/02/2014,7.7551,7.7543,7.7561,7.7538,,0.01%
18/02/2014,7.7544,7.7549,7.756,7.7538,,-0.01%
17/02/2014,7.7551,7.7546,7.7565,7.754,,-0.01%
14/02/2014,7.7555,7.7556,7.7569,7.7544,,0.00%
13/02/2014,7.7557,7.7562,7.7576,7.755,,-0.02%
12/2/2014,7.7569,7.7561,7.7571,7.7545,,0.01%
11/2/2014,7.7563,7.7573,7.7579,7.7555,,-0.01%
10/2/2014,7.7574,7.7583,7.7586,7.756,,-0.02%
7/2/2014,7.7587,7.7594,7.7604,7.7575,,-0.01%
6/2/2014,7.7596,7.7616,7.7623,7.758,,-0.03%
5/2/2014,7.7616,7.7636,7.7638,7.7609,,-0.03%
4/2/2014,7.7637,7.7669,7.7675,7.7625,,-0.05%
3/2/2014,7.7672,7.763,7.7676,7.7623,,0.05%
31/01/2014,7.7637,7.767,7.7677,7.7629,,-0.05%
30/01/2014,7.7672,7.7638,7.7677,7.7635,,0.04%
